1(asz)	NU	c
1(asz)	NU	one
1(ban)	N	unit
1(barig)	N	unit
1(bariga)	N	unit
1(bur'u)	N	unit
1(bur)	N	unit
1(disz)	NU	unit
1(disz)	NU	one
1(esze)	N	unit
1(gesz'u)	NU	six_hundred
1(gesz)	NU	sixty
1(iku)	N	unit
1(szar)	N	unit
1(u)	NU	ten
1/2(disz)	NU	one
1/2(iku)	N	unit
1/3(disz)	NU	one
1/4(iku)	N	unit
2(asz)	NU	one
2(ban)	N	unit
2(bariga)	N	unit
2(bur)	N	unit
2(disz	NU	t)
2(disz)	NU	one
2(esze)	N	unit
2(gesz'u)	NU	six_hundred
2(gesz)	NU	sixty
2(iku)	N	unit
2(u)	NU	ten
2/3(disz)	NU	one
3(asz)	NU	one
3(ban)	N	unit
3(bariga)	N	unit
3(bur'u)	N	unit
3(bur)	N	unit
3(disz	NU	t)
3(disz)	NU	3(disz)
3(disz)	NU	one
3(gesz'u)	NU	six_hundred
3(gesz)	NU	sixty
3(iku)	N	unit
3(u)	NU	ten
4(asz)	NU	one
4(ban)	N	unit
4(bariga)	N	unit
4(bur'u)	N	unit
4(bur)	N	unit
4(disz)	NU	one
4(gesz'u)	NU	six_hundred
4(gesz)	NU	sixty
4(iku)	N	unit
4(u)	NU	ten
5(asz)	NU	one
5(ban)	N	unit
5(bur)	N	unit
5(disz)	NU	one
5(gesz'u)	NU	six_hundred
5(gesz)	NU	sixty
5(iku)	N	unit
5(u)	NU	ten
5/6(disz)	NU	one
6(asz)	NU	one
6(bur)	N	unit
6(disz)	NU	one
6(gesz)	NU	sixty
7(asz)	NU	one
7(disz)	NU	one
7(gesz)	NU	sixty
8(asz)	NU	one
8(bur)	N	unit
8(disz)	NU	one
8(gesz2)	NU	sixty
9(asz)	NU	one
9(bur)	N	unit
9(disz)	NU	one
9(gesz)	NU	sixty
A'anda	DN	A'anda
A'annati	PN	A'annati
A'uda	FN	A'uda
Aba	PN	Aba
Aba'enlilgin	PN	Aba'enlilgin
Abala	FN	Abala
Abaszaragin	PN	Abaszaragin
Abbagina	PN	Abbagina
Abbakala	PN	Abbakala
Abbamu	PN	Abbamu
Abbasaga	PN	Abbasaga
Abilati	PN	Abilati
Abillatum	PN	Abillatum
Abilsuen	PN	Abilsuen
Abisimti	PN	Abisimti
Abuda	PN	Abuda
Abuka	FN	Abuka
Abuni	PN	Abuni
Adaga	PN	Adaga
Adalal	PN	Adalal
Adaszen	PN	Adaszen
Adda	PN	Adda
Addada	PN	Addada
Addakala	PN	Addakala
Addamu	PN	Addamu
Adu	PN	Adu
Adudu	PN	Adudu
Adumu	PN	Adumu
Agalzi	PN	Agalzi
Agiwum	ON	Agiwum
Agu	PN	Agu
Agu'a	PN	Agu'a
Agugu	PN	Agugu
Ahu'aga	PN	Ahu'aga
Ahuni	PN	Ahuni
Ahuwaqar	PN	Ahuwaqar
Ahuwer	PN	Ahuwer
Ahuya	PN	Ahuya
Akala	PN	Akala
Akiti	MN	Akiti
Akuku	PN	Akuku
Ala	PN	Ala
Alamusz	DN	Alamusz
Ali	PN	Ali
Alla	PN	Alla
Allagula	DN	Allagula
Allamu	PN	Allamu
Allapalil	PN	Allapalil
Allatum	DN	Allatum
Alulu	PN	Alulu
Ama	PN	emahe
Amagina	PN	Amagina
Amakala	PN	Amakala
Amamaya	PN	Amamaya
Amarayasi	MN	Amarayasi
Amarkiszi	PN	Amarkiszi
Amarsuen	RN	Amarsuen
Amawurszage	PN	Amawurszage
Ambar	SN	Ambar
Amma	PN	Amma
Amurdingir	PN	Amurdingir
Amurutu	PN	Amurutu
An	DN	An
Anamu	PN	Anamu
Andagudu'eszeki'ag	PN	Andagudu'eszeki'ag
Aneni	PN	Aneni
Angugumu	PN	Angugumu
Anita	PN	Anita
Annahilibi	PN	Annahilibi
Anne	PN	Anne
Annebabdu	PN	Annebabdu
Annunitum	PN	Annunitum
Anszan	GN	Anszan
Anzubabbar	TN	Anzubabbar
Apidingir	PN	Apidingir
Apindu'a	MN	Apindu'a
Apisal	FN	Apisal
Arad	PN	Arad
Aradam	PN	Aradam
Aradhula	PN	Aradhula
Aradmu	PN	Aradmu
Aradnanna	PN	Aradnanna
Aradszara	PN	Aradszara
Arsziah	PN	Arsziah
Arti'a	PN	Arti'a
Aszi'an	PN	Aszi'an
Ata	PN	Ata
Atu	PN	Atu
Ayabbamu	PN	Ayabbamu
Ayabbani	PN	Ayabbani
Ayakala	PN	Ayakala
Ayalni	PN	Ayalni
Ayamu	PN	Ayamu
Ayatti'a	PN	Ayatti'a
Azida	PN	Azida
Baba	PN	Baba
Babati	PN	Babati
Baddari	PN	Baddari
Badirina	PN	Badirina
Bahanszer	PN	Bahanszer
Bala	PN	Bala
Bali	PN	Bali
Balu	N	Balu
Bamu	PN	Bamu
Basa	PN	Basa
Basaga	PN	Basaga
Bayabalum	PN	Bayabalum
Bayaga	PN	Bayaga
Bayansa	PN	Bayansa
Bazi	PN	Bazi
Belatdarraban	DN	Belatdarraban
Belatsuhner	DN	Belatsuhner
Beli	PN	azu
Belidu	PN	Belidu
Bibi	PN	Bibi
Bibi'a	PN	Bibi'a
Biduga	PN	Biduga
Bikkinum	PN	Bikkinum
Bilga	PN	Bilga
Bu'unum	PN	Bu'unum
Bubu	PN	Bubu
Bugati	PN	Bugati
Burmama	PN	Burmama
DIRI	PN	tum
Da'umma	SN	Da'umma
Dada	PN	Dada
Dadaga	PN	Dadaga
Dadani	PN	Dadani
Dadaya	PN	Dadaya
Dadu	PN	Dadu
Dadumu	PN	Dadumu
Dagamu	PN	Dagamu
Dagi	PN	Dagi
Dal	MN	Dal
Dalbana	FN	Dalbana
Damsa	PN	Damsa
Damu	PN	Damu
Danni'a	PN	Danni'a
Dannum	PN	Dannum
Danu'a	PN	Danu'a
Danupi	PN	Danupi
Dayagi	PN	Dayagi
Der	SN	Der
Dikumiszar	PN	Dikumiszar
Dingira	PN	Dingira
Dingiradah	PN	Dingiradah
Dingirbani	PN	Dingirbani
Dingirga'isa	PN	Dingirga'isa
Dingirra	PN	Dingirra
Dingirrabi	PN	Dingirrabi
Dingirsudan	PN	Dingirsudan
Dingirsurabi	PN	Dingirsurabi
Du'udu	PN	Du'udu
Dudu	SN	Dudu
Duga	PN	Duga
Dugamu	PN	Dugamu
Dugani	PN	Dugani
Duge	PN	Duge
Dukusig	FN	Dukusig
Dumuzi	MN	Dumuzi
Duru	FN	Duru
Durul	WN	Durul
Durunannagugal	FN	Durunannagugal
E'abani	PN	E'abani
E'ansze	FN	E'ansze
E'erdingir	PN	E'erdingir
E'iluruguda	PN	E'iluruguda
E'iti6	MN	E'iti6
E'u'e	PN	E'u'e
E'u15	TN	E'u15
E'u7	ON	E'u7
E'urbidu	PN	E'urbidu
Ea	ON	Ea
Eana	TN	Eana
Ebabbar	TN	Ebabbar
Ebkusza	PN	Ebkusza
Edi	PN	Edi
