
*****NOUN DICT*****

1(disz) 	 NU 	 one
udunita 	 N 	 ram
sila 	 N 	 lamb
azur 	 N 	 type_of_sheep
ki 	 N 	 place
Uru 	 PN 	 Uru
szag 	 N 	 heart
bala 	 N 	 tax
kiszib 	 N 	 seal
Arad 	 PN 	 Arad
iti 	 N 	 month
Szesagku 	 MN 	 1
mu 	 N 	 year
Kimasz 	 SN 	 1
Aradmu 	 PN 	 Aradmu
dubsar 	 N 	 scribe
dumu 	 N 	 child
Urnigar 	 PN 	 Urnigar
kusz 	 N 	 cattle_manager
udu 	 N 	 sheep
maszgal 	 N 	 billy_goat
ud 	 N 	 day
1(u) 	 NU 	 ten
1(disz 	 NU 	 t)
Tummal 	 SN 	 1
Endingirmu 	 PN 	 Endingirmu
Szulgi'irimu 	 PN 	 Szulgi'irimu
szu 	 N 	 hand
Akiti 	 MN 	 1
en 	 N 	 priest
Nanna 	 DN 	 1
1/3(disz) 	 NU 	 one
gig 	 N 	 unit
2(u) 	 NU 	 ten
sze 	 N 	 unit
3(disz) 	 NU 	 one
igi6(disz) 	 NU 	 one
Urbagara 	 PN 	 Urbagara
1(ban) 	 N 	 unit
inun 	 N 	 ghee
6(disz) 	 NU 	 one
ga 	 N 	 milk
gazi 	 N 	 condiment
Urmes 	 PN 	 Urmes
Urdumuzi 	 PN 	 Urdumuzi
Szugargal 	 MN 	 1
Annahilibi 	 PN 	 Annahilibi
Lukala 	 PN 	 Lukala
Pa'u'e 	 MN 	 1
Enunugal 	 PN 	 Enunugal
Inanna 	 DN 	 1
Ure'e 	 PN 	 Ure'e
1(gesz'u) 	 NU 	 six_hundred
sa 	 N 	 bundle
pakud 	 N 	 stave
gunigin 	 N 	 bale
4(disz) 	 NU 	 one
dal 	 N 	 crossbar
5(gesz) 	 NU 	 sixty
manu 	 N 	 wood_type
2(disz) 	 NU 	 one
nigba 	 N 	 gift
lugal 	 N 	 king
Sigtelani 	 PN 	 Sigtelani
giri 	 N 	 foot
Szumama 	 PN 	 Szumama
lu 	 N 	 person
kiggia 	 N 	 messenger
Luturtur 	 PN 	 Luturtur
maszkim 	 N 	 administrator
3(u) 	 NU 	 ten
Urninlila 	 PN 	 Urninlila
sukkal 	 N 	 secretary
Ludingira 	 PN 	 Ludingira
kaguruk 	 N 	 granary_supervisor
Ursilaluh 	 PN 	 Ursilaluh
ensik 	 N 	 ruler
Amarsuen 	 RN 	 1
Szulgir 	 RN 	 1
nita 	 N 	 male
Urim 	 SN 	 1
anubda 	 N 	 quarter
limmu 	 NU 	 four
Urlisi 	 PN 	 Urlisi
Umma 	 SN 	 1
arad 	 N 	 slave
la'u 	 N 	 arrears
Iszsu 	 SN 	 1
Lusa'izu 	 PN 	 Lusa'izu
Dal 	 MN 	 1
bad 	 N 	 wall
Lugalezem 	 PN 	 Lugalezem
Urkun 	 PN 	 Urkun
did 	 N 	 lawsuit
Geme'igalim 	 PN 	 Geme'igalim
Nammah 	 PN 	 Nammah
Sigara 	 PN 	 Sigara
Martu 	 EN 	 1
Lunigin 	 PN 	 Lunigin
inim 	 N 	 word
geme 	 N 	 female_worker
ni 	 N 	 self
ibiza 	 N 	 financial_loss
egal 	 N 	 palace
Gude'a 	 PN 	 Gude'a
abba'iri 	 N 	 city_elder
Lugirsu 	 PN 	 Lugirsu
ugula 	 N 	 overseer
kas 	 N 	 runner
mu 	 N 	 name
inim 	 N 	 matter
Lugugal 	 PN 	 Lugugal
Lubaba 	 PN 	 Lubaba
Erinda 	 PN 	 Erinda
Luszara 	 PN 	 Luszara
Lu'ebgal 	 PN 	 Lu'ebgal
Uristaran 	 PN 	 Uristaran
dikud 	 N 	 judge
szakkanak 	 N 	 governor
Urlamma 	 PN 	 Urlamma
marza 	 N 	 rites
1(gesz) 	 NU 	 sixty
tug 	 N 	 textile
niglam 	 N 	 ceremonial_garment
2/3(disz) 	 NU 	 one
guza 	 N 	 chair
1/2(disz) 	 NU 	 one
5(disz) 	 NU 	 one
sag 	 N 	 front_side
uszbar 	 N 	 garment_type
5/6(disz) 	 NU 	 one
gada 	 N 	 flax
9(disz) 	 NU 	 one
3(gesz) 	 NU 	 sixty
szerim 	 NU 	 part_of_loom
szunigin 	 N 	 total
4(u) 	 NU 	 ten
tuggur 	 N 	 plow
Lu'igisasa 	 PN 	 Lu'igisasa
Nabasa 	 PN 	 Nabasa
dirig 	 N 	 excess
Ugudu 	 PN 	 Ugudu
sar 	 N 	 unit
sahar 	 N 	 earth
kabkul 	 N 	 water_installation
A'uda 	 FN 	 1
Uduninarali 	 FN 	 1
2(gesz) 	 NU 	 sixty
5(u) 	 NU 	 ten
Kibad 	 FN 	 1
Usur 	 GN 	 1
tir 	 N 	 forest
kig 	 N 	 work
id 	 N 	 river
Ninhursag 	 DN 	 1
szukur 	 N 	 ration
engar 	 N 	 farmer
nubandagu 	 N 	 ox_overseer
szagsahar 	 N 	 earth_worker
eg 	 N 	 levee
sadurra 	 N 	 bottom
aszag 	 N 	 field
Uwarida 	 WN 	 1
Iszibene 	 FN 	 1
8(gesz2) 	 NU 	 sixty
Dada 	 PN 	 Dada
Anszan 	 GN 	 1
Nani 	 PN 	 Nani
5(asz) 	 NU 	 one
sze 	 N 	 barley
gur 	 N 	 unit
urra 	 N 	 loan
Lugalmelam 	 PN 	 Lugalmelam
Urmama 	 PN 	 Urmama
7(disz) 	 NU 	 one
gurusz 	 N 	 male
Gusuhub 	 FN 	 1
haran 	 N 	 plant
kabkul 	 N 	 water_installationr
Urdamu 	 PN 	 Urdamu
Iniminanna 	 PN 	 Iniminanna
Lugalitida 	 PN 	 Lugalitida
ziz 	 N 	 emmer
Urdumuzida 	 PN 	 Urdumuzida
1(bariga) 	 N 	 unit
Dumuzi 	 MN 	 1
Szusuen 	 RN 	 1
narua 	 N 	 stele
mah 	 N 	 great
Enlil 	 DN 	 1
Ninlil 	 DN 	 1
am 	 N 	 bull
gud 	 N 	 ox
amar 	 N 	 calf
Abbasaga 	 PN 	 Abbasaga
Szu'eszsza 	 MN 	 1
Urbilum 	 SN 	 1
siszkur 	 N 	 offering
Hibaritum 	 SN 	 1
Minesz 	 MN 	 1
ki'engi 	 GN 	 1
ki'uri 	 GN 	 1
kugbabbar 	 N 	 silver
Kilula 	 PN 	 Kilula
igi4(disz) 	 NU 	 one
kug 	 N 	 silver
Manba 	 PN 	 Manba
Nigarkidu 	 PN 	 Nigarkidu
Akala 	 PN 	 Akala
masz 	 N 	 interest
8(disz) 	 NU 	 one
Enmahgalana 	 PN 	 Enmahgalana
6(asz) 	 NU 	 one
4(bariga) 	 N 	 unit
mukur 	 N 	 delivery
Urnansze 	 PN 	 Urnansze
Szuledudu 	 PN 	 Szuledudu
Gurabimumu 	 MN 	 1
4(ban) 	 N 	 unit
2(bariga) 	 N 	 unit
gudug 	 N 	 priest
gabari 	 N 	 copy
kiszibba 	 N 	 sealed_tablets
Ursuen 	 PN 	 Ursuen
Nesag 	 MN 	 1
Szara 	 DN 	 1
gun 	 N 	 rent
namah 	 N 	 magnificent_stone
Inta'e'a 	 PN 	 Inta'e'a
Ezemszulgir 	 MN 	 1
Unug 	 SN 	 1
Lugalazida 	 PN 	 Lugalazida
Szeszkala 	 PN 	 Szeszkala
Siga 	 MN 	 1
Aradam 	 PN 	 Aradam
lu'inimak 	 N 	 witness
Apindu'a 	 MN 	 1
Simanum 	 SN 	 1
Lugalengardu 	 PN 	 Lugalengardu
dug 	 N 	 pot
dida 	 N 	 sweet_wort
kasz 	 N 	 beer
ninda 	 N 	 bread
naga 	 N 	 potash
kud 	 N 	 fish
szum 	 N 	 garlic
Lamamu 	 PN 	 Lamamu
Utumu 	 PN 	 Utumu
E'iti6 	 MN 	 1
Huh 	 SN 	 1
habuda 	 N 	 hoe
kila 	 N 	 weight
mana 	 N 	 unit
Dadaga 	 PN 	 Dadaga
Szunumun 	 MN 	 1
igesz 	 N 	 oil
idgurum 	 N 	 ladle
Ahu'aga 	 PN 	 Ahu'aga
damgar 	 N 	 merchant
Sagazak 	 SN 	 1
Balu 	 N 	 1
ka 	 N 	 mouth
Kaya 	 SN 	 1
Nibru 	 SN 	 1
szah 	 N 	 pig
amagan 	 N 	 breeding_female_animal
szahnita 	 N 	 male_pig
zahda 	 N 	 piglet
Szukabta 	 PN 	 Szukabta
Basaga 	 PN 	 Basaga
nigSZID 	 N 	 account
nigGA 	 N 	 property
Szeleputum 	 PN 	 Szeleputum
dumumunus 	 N 	 daughter
Nuhidingir 	 PN 	 Nuhidingir
sipa 	 N 	 shepherd
Bayaga 	 PN 	 Bayaga
kuruszda 	 N 	 animal_fattener
mada 	 N 	 land
Zabszali 	 SN 	 1
zidgu 	 N 	 flour_type
alan 	 N 	 statue
Neduhuli 	 SN 	 1
Ubar 	 PN 	 Ubar
Baba 	 PN 	 Baba
i'udu 	 N 	 sheep_fat
tukulgal 	 N 	 big_weapon_carrier
aga'us 	 N 	 soldier
Bazi 	 PN 	 Bazi
Puzureszdar 	 PN 	 Puzureszdar
aziga 	 N 	 rising_water
Kala 	 PN 	 Kala
gurdub 	 N 	 basket
tu 	 N 	 soup
Puzuriszkur 	 PN 	 Puzuriszkur
Der 	 SN 	 1
erin 	 N 	 people
Huhnuri 	 SN 	 1
8(asz) 	 NU 	 one
masz 	 N 	 goat
igi 	 N 	 eye
Ugulageszda 	 PN 	 Ugulageszda
ezem 	 N 	 festival
nesag 	 N 	 first_fruit_offering
Madara'abzu 	 ON 	 1
Enki 	 DN 	 1
Lugalsaga 	 PN 	 Lugalsaga
Nalu 	 PN 	 Nalu
1(asz) 	 NU 	 one
3(bariga) 	 N 	 unit
Urutu 	 PN 	 Urutu
Gaduszana'um 	 PN 	 Gaduszana'um
Urgilgamesx 	 PN 	 Urgilgamesx
Urlamsag 	 PN 	 Urlamsag
bahar 	 N 	 potter
Nigurum 	 PN 	 Nigurum
aria 	 N 	 disease
Lu'utu 	 PN 	 Lu'utu
Szuzu 	 PN 	 Szuzu
Girini 	 PN 	 Girini
adKID 	 N 	 basket_weaver
Mepa'e 	 PN 	 Mepa'e
kakaku 	 N 	 profession
aszgab 	 N 	 leatherworker
szeba 	 N 	 ration
zagmuk 	 N 	 new_year
Isztaran 	 DN 	 1
Nigdu 	 PN 	 Nigdu
2(asz) 	 NU 	 one
3(ban) 	 N 	 unit
Urlisina 	 PN 	 Urlisina
Uregula 	 PN 	 Uregula
3(asz) 	 NU 	 one
bisagdubak 	 N 	 filing_basket
gurum 	 N 	 inspection
szukud 	 N 	 fisherman
muszendu 	 N 	 bird_catcher
ara 	 N 	 times
Insasa 	 PN 	 Insasa
Igidar 	 PN 	 Igidar
Simurrum 	 SN 	 1
Lulubu 	 SN 	 1
Girsu 	 SN 	 1
_(_) 	 NU 	 _
Isalla 	 SN 	 1
Abbagina 	 PN 	 Abbagina
Aszi'an 	 PN 	 Aszi'an
Lugalemahe 	 PN 	 Lugalemahe
Lisi 	 MN 	 1
Lugalkugani 	 PN 	 Lugalkugani
Szakkanandul 	 PN 	 Szakkanandul
Angugumu 	 PN 	 Angugumu
Urabba 	 PN 	 Urabba
Hala 	 PN 	 Hala
Alulu 	 PN 	 Alulu
Urasznan 	 PN 	 Urasznan
Urabbasaga 	 PN 	 Urabbasaga
Urenki 	 PN 	 Urenki
Uremah 	 PN 	 Uremah
Lugalmagure 	 PN 	 Lugalmagure
Ayalni 	 PN 	 Ayalni
Lugalgigire 	 PN 	 Lugalgigire
4(asz) 	 NU 	 one
Szadda 	 PN 	 Szadda
Lugalkisal 	 PN 	 Lugalkisal
Dadaya 	 PN 	 Dadaya
Igigirnimu 	 PN 	 Igigirnimu
Lugalbad 	 PN 	 Lugalbad
Inimszara 	 PN 	 Inimszara
5(ban) 	 N 	 unit
emuhaldim 	 N 	 kitchen
Szaszszurum 	 SN 	 1
Lugalsine'e 	 PN 	 Lugalsine'e
Urgigir 	 PN 	 Urgigir
iszah 	 N 	 lard
marsa 	 N 	 shipyard
Lugalniglagare 	 PN 	 Lugalniglagare
Nasilim 	 PN 	 Nasilim
Umani 	 PN 	 Umani
Namlugalidu 	 PN 	 Namlugalidu
magurmah 	 N 	 great_barge
7(gesz) 	 NU 	 sixty
bisag 	 N 	 basket
gid 	 N 	 length
kid 	 N 	 mat
haltur 	 N 	 basket_type
bandudu 	 N 	 seeding_basket
gakkul 	 N 	 mash_tub
abba 	 N 	 father
ansze 	 N 	 donkey
hankaze 	 N 	 reed_product_type
simtum 	 N 	 measuring_container
gur 	 N 	 measuring_vessel
nigara 	 N 	 groats
ban 	 N 	 measuring_container
haszhur 	 N 	 apple
innu 	 N 	 straw
zid 	 N 	 flour
gig 	 N 	 measuring_tool
Ningeszkimzi 	 PN 	 Ningeszkimzi
uduh 	 N 	 days_off
zar 	 N 	 sheaf
ab 	 N 	 cow
Marhaszi 	 SN 	 1
Ahuni 	 PN 	 Ahuni
Enlila 	 PN 	 Enlila
nigdab 	 N 	 requisitions
Ayakala 	 PN 	 Ayakala
Apisal 	 FN 	 1
Muszbi'anna 	 FN 	 1
bar 	 N 	 outside
Puzurdagan 	 SN 	 1
Amma 	 PN 	 Amma
nagada 	 N 	 herdsman
szimaszgi 	 N 	 sheep_designation
Ezemanna 	 MN 	 1
sikigi 	 N 	 wool_type
Lugalandul 	 PN 	 Lugalandul
a'aga 	 N 	 news
Szaszszuru 	 SN 	 1
Tahiszatal 	 PN 	 Tahiszatal
Ezemninazu 	 MN 	 1
Szaszru 	 SN 	 1
bitum 	 N 	 administrative_term
Du'udu 	 PN 	 Du'udu
igidua 	 N 	 priestess
Sigiszubbagar 	 MN 	 1
Ibbisuen 	 RN 	 1
duh 	 N 	 bran
2(ban) 	 N 	 unit
gabil 	 N 	 basket
nigki 	 N 	 fish
9(asz) 	 NU 	 one
sabar 	 N 	 net
kusze 	 N 	 cooked_fish
9(gesz) 	 NU 	 sixty
nigszukur 	 N 	 ration
ekiszibak 	 N 	 storeroom
7(asz) 	 NU 	 one
zabardab 	 N 	 official
Babati 	 PN 	 Babati
nig 	 N 	 unknown
hal 	 N 	 basket
esir 	 N 	 bitumen
Kugani 	 PN 	 Kugani
Urszulgir 	 PN 	 Urszulgir
su 	 N 	 bird_type
apin 	 N 	 plow
mar 	 N 	 shovel
dehi 	 N 	 stanchion
banszur 	 N 	 table
marim 	 N 	 clay_shovel
nu 	 N 	 night_bird
ku 	 N 	 unknown
urud 	 N 	 copper
kan 	 N 	 gate
geszur 	 N 	 harrow
gigesz 	 N 	 reed_thicket
eren 	 N 	 cedar
szim 	 N 	 beer_malt
szakkan 	 N 	 unknown
susu 	 N 	 reed_type
mansim 	 N 	 sieve
maszda 	 N 	 gazelle
anzam 	 N 	 drinking_vessel
al 	 N 	 hoe
gag 	 N 	 peg
kadar 	 N 	 unknown
uszub 	 N 	 brick_mold
szeg 	 N 	 brick
a'abak 	 N 	 stone_type
gagsala 	 N 	 hook
zena 	 N 	 midrib
gesznimbar 	 N 	 date_palm
banda 	 N 	 child
suhur 	 N 	 carp
ig 	 N 	 door
lagab 	 N 	 stump
kusz 	 N 	 leather
Urnerah 	 PN 	 Urnerah
szabra 	 N 	 chief_administrator
Gibilka'isa 	 PN 	 Gibilka'isa
Urhendursag 	 PN 	 Urhendursag
Munugu 	 MN 	 1
Luzabala 	 PN 	 Luzabala
Kalamu 	 PN 	 Kalamu
Badirina 	 PN 	 Badirina
szaggal 	 N 	 food
gaba 	 N 	 frontier
Eridug 	 SN 	 1
nudab 	 N 	 worker
hedab 	 N 	 worker
gu 	 N 	 bank
Niginszedu 	 WN 	 1
Durul 	 WN 	 1
eduru 	 N 	 village
Upi 	 SN 	 1
Urszulpa'e 	 PN 	 Urszulpa'e
im 	 N 	 clay
gesz 	 N 	 tree
Lugina 	 PN 	 Lugina
ememah 	 N 	 mature_donkey
bargal 	 N 	 fleeced_sheep
6(gesz) 	 NU 	 sixty
4(gesz) 	 NU 	 sixty
kaszdea 	 N 	 banquet
Ninkala 	 PN 	 Ninkala
maszdarea 	 N 	 payment
sadug 	 N 	 offerings
nigtaga 	 N 	 sacrifice
abmah 	 N 	 mature_cow
ga 	 N 	 suckling
szegbar 	 N 	 animal_type
Lupada 	 PN 	 Lupada
Lugaldubla 	 PN 	 Lugaldubla
egud 	 N 	 ox_barn
ugu 	 N 	 capital
Kas 	 PN 	 Kas
Urszara 	 PN 	 Urszara
bisagdubak 	 N 	 archivist
Ki'an 	 SN 	 1
Lusuen 	 PN 	 Lusuen
Basa 	 PN 	 Basa
Dagi 	 PN 	 Dagi
Urnisaba 	 PN 	 Urnisaba
Lubanda 	 PN 	 Lubanda
ziga 	 N 	 expenditure
idub 	 N 	 granary
2(bur) 	 N 	 unit
gana 	 N 	 field
4(iku) 	 N 	 unit
1/2(iku) 	 N 	 unit
Lugalkuzu 	 PN 	 Lugalkuzu
Hesa 	 PN 	 Hesa
iszib 	 N 	 priest
1(bur) 	 N 	 unit
1(esze) 	 N 	 unit
5(iku) 	 N 	 unit
Duru 	 FN 	 1
nun 	 N 	 prince
kag 	 N 	 mouth
Nannagugal 	 WN 	 1
2(iku) 	 N 	 unit
Durunannagugal 	 FN 	 1
9(bur) 	 N 	 unit
2(esze) 	 N 	 unit
1(iku) 	 N 	 unit
Muru 	 FN 	 1
egizid 	 N 	 priestess
Kuli 	 PN 	 Kuli
Uda 	 PN 	 Uda
3(bur'u) 	 N 	 unit
Kage 	 PN 	 Kage
Geszgibanda 	 FN 	 1
8(bur) 	 N 	 unit
1/4(iku) 	 N 	 unit
murgu 	 N 	 tree_type
kiri 	 N 	 orchard
Hendursag 	 DN 	 1
4(bur) 	 N 	 unit
1(bur'u) 	 N 	 unit
Katul 	 FN 	 1
Szuna 	 FN 	 1
1(szar) 	 N 	 unit
3(iku) 	 N 	 unit
Dalbana 	 FN 	 1
eringaba 	 N 	 unknown
Urli 	 PN 	 Urli
iri 	 N 	 city
6(bur) 	 N 	 unit
Sallesa 	 FN 	 1
4(bur'u) 	 N 	 unit
Idigna 	 WN 	 1
sagga 	 N 	 temple_administrator
Ebabbar 	 TN 	 1
3(bur) 	 N 	 unit
_(bur) 	 N 	 unit
_(esze) 	 N 	 unit
_(iku) 	 N 	 unit
Luninildama 	 PN 	 Luninildama
Uszgida 	 FN 	 1
niggala 	 N 	 possessions
sagDUN 	 N 	 land_recorder
pa 	 N 	 branch
manu 	 N 	 wood
ekinkin 	 N 	 mill
baba 	 N 	 porridge
E'urbidu 	 PN 	 E'urbidu
Kugninura 	 PN 	 Kugninura
Nasa 	 PN 	 Nasa
Urbaba 	 PN 	 Urbaba
Nannaki'ag 	 N 	 1
aslum 	 N 	 sheep_type
uzud 	 N 	 goat
Bayabalum 	 PN 	 Bayabalum
szugid 	 N 	 animal_designation
Irisagrig 	 SN 	 1
Lugalnimah 	 PN 	 Lugalnimah
Lugalsisa 	 PN 	 Lugalsisa
Nannazi 	 PN 	 Nannazi
Era'ursag 	 PN 	 Era'ursag
nubanda 	 N 	 overseer
Dayagi 	 PN 	 Dayagi
Layamu 	 PN 	 Layamu
Lugalnesage 	 PN 	 Lugalnesage
giridab 	 N 	 driver
kur 	 N 	 mountain
Urru 	 PN 	 Urru
Lugula 	 PN 	 Lugula
Szabanasig 	 PN 	 Szabanasig
Szeszdada 	 PN 	 Szeszdada
Utu 	 DN 	 1
Uriszkur 	 PN 	 Uriszkur
Nannahegal 	 PN 	 Nannahegal
szandanak 	 N 	 gardenner
Urkununa 	 PN 	 Urkununa
azlag 	 N 	 fuller
Inxx 	 PN 	 Inxx
ragaba 	 N 	 rider
Urisza 	 PN 	 Urisza
Luduga 	 PN 	 Luduga
gi 	 N 	 reed
3(disz 	 NU 	 t)
Menkar 	 FN 	 1
Urnamma 	 RN 	 1
Adumu 	 PN 	 Adumu
Ukunuti 	 FN 	 1
Gine 	 PN 	 Gine
malah 	 N 	 sailor
Guzayana 	 PN 	 Guzayana
gig 	 N 	 resin_type
nagar 	 N 	 carpenter
Nimgirane 	 PN 	 Nimgirane
Gamu 	 PN 	 Gamu
Lu'igi 	 PN 	 Lu'igi
Narnita 	 PN 	 Narnita
girsiga 	 N 	 attendant
Ninura 	 DN 	 1
kikken 	 N 	 miller
Uszkalimmu 	 DN 	 1
e'esir 	 N 	 house_of_bitumen
Lugalinimduga 	 PN 	 Lugalinimduga
gabus 	 N 	 shepherd_helper
_(ban) 	 N 	 unit
uggaga 	 N 	 porter
Apidingir 	 PN 	 Apidingir
Lugalme'a 	 PN 	 Lugalme'a
_(barig) 	 N 	 unit
Ayabbamu 	 PN 	 Ayabbamu
Sagku 	 PN 	 Sagku
ganun 	 N 	 storehouse
Gayame 	 PN 	 Gayame
Lugaldingira 	 PN 	 Lugaldingira
2(gesz'u) 	 NU 	 six_hundred
utul 	 N 	 tureen
usakar 	 N 	 crescent_moon
Kisura 	 N 	 border
utusza 	 N 	 holiday
Lubagara 	 PN 	 Lubagara
Ezembaba 	 MN 	 1
kiszib 	 N 	 sealed_tablet
Lugalnir 	 PN 	 Lugalnir
szusar 	 N 	 string
Sza'iri 	 PN 	 Sza'iri
kaskal 	 N 	 journey
Sabum 	 SN 	 1
Szu'enlil 	 PN 	 Szu'enlil
aga'usgal 	 N 	 head_soldier
Dadani 	 PN 	 Dadani
Elanu'id 	 PN 	 Elanu'id
Szukubum 	 PN 	 Szukubum
Szuszin 	 SN 	 1
ma 	 N 	 ship
